Code,Area,Year,Crime_rate
E09000002,Barking and Dagenham,2011,1635
E09000003,Barnet,2011,2243
E09000004,Bexley,2011,982
E09000005,Brent,2011,2601
E09000006,Bromley,2011,1797
E09000007,Camden,2011,2990
E09000008,Croydon,2011,2625
E09000009,Ealing,2011,2915
E09000010,Enfield,2011,1910
E09000011,Greenwich,2011,1861
E09000012,Hackney,2011,2351
E09000013,Hammersmith and Fulham,2011,1942
E09000014,Haringey,2011,2000
E09000015,Harrow,2011,1156
E09000016,Havering,2011,1378
E09000017,Hillingdon,2011,2025
E09000018,Hounslow,2011,1979
E09000019,Islington,2011,2207
E09000020,Kensington and Chelsea,2011,1645
E09000021,Kingston upon Thames,2011,930
E09000022,Lambeth,2011,3270
E09000023,Lewisham,2011,2280
E09000024,Merton,2011,1150
E09000025,Newham,2011,2715
E09000026,Redbridge,2011,1971
E09000027,Richmond upon Thames,2011,1042
E09000028,Southwark,2011,2905
E09000029,Sutton,2011,1034
E09000030,Tower Hamlets,2011,2185
E09000031,Waltham Forest,2011,2183
E09000032,Wandsworth,2011,1695
E09000033,Westminster,2011,5518
E09000002,Barking and Dagenham,2012,1363
E09000003,Barnet,2012,2098
E09000004,Bexley,2012,984
E09000005,Brent,2012,2253
E09000006,Bromley,2012,1520
E09000007,Camden,2012,2759
E09000008,Croydon,2012,2566
E09000009,Ealing,2012,2400
E09000010,Enfield,2012,1802
E09000011,Greenwich,2012,1674
E09000012,Hackney,2012,2353
E09000013,Hammersmith and Fulham,2012,1896
E09000014,Haringey,2012,1995
E09000015,Harrow,2012,1058
E09000016,Havering,2012,1335
E09000017,Hillingdon,2012,1822
E09000018,Hounslow,2012,1979
E09000019,Islington,2012,2362
E09000020,Kensington and Chelsea,2012,1721
E09000021,Kingston upon Thames,2012,841
E09000022,Lambeth,2012,2911
E09000023,Lewisham,2012,1951
E09000024,Merton,2012,1087
E09000025,Newham,2012,2590
E09000026,Redbridge,2012,1759
E09000027,Richmond upon Thames,2012,985
E09000028,Southwark,2012,2414
E09000029,Sutton,2012,931
E09000030,Tower Hamlets,2012,2235
E09000031,Waltham Forest,2012,2068
E09000032,Wandsworth,2012,2096
E09000033,Westminster,2012,4939
E09000002,Barking and Dagenham,2013,1360
E09000003,Barnet,2013,1817
E09000004,Bexley,2013,940
E09000005,Brent,2013,1851
E09000006,Bromley,2013,1646
E09000007,Camden,2013,2404
E09000008,Croydon,2013,2250
E09000009,Ealing,2013,2195
E09000010,Enfield,2013,1730
E09000011,Greenwich,2013,1628
E09000012,Hackney,2013,2164
E09000013,Hammersmith and Fulham,2013,1551
E09000014,Haringey,2013,1699
E09000015,Harrow,2013,959
E09000016,Havering,2013,1259
E09000017,Hillingdon,2013,1548
E09000018,Hounslow,2013,1587
E09000019,Islington,2013,1899
E09000020,Kensington and Chelsea,2013,1456
E09000021,Kingston upon Thames,2013,757
E09000022,Lambeth,2013,2577
E09000023,Lewisham,2013,1841
E09000024,Merton,2013,1061
E09000025,Newham,2013,2329
E09000026,Redbridge,2013,1641
E09000027,Richmond upon Thames,2013,910
E09000028,Southwark,2013,2605
E09000029,Sutton,2013,864
E09000030,Tower Hamlets,2013,2258
E09000031,Waltham Forest,2013,1840
E09000032,Wandsworth,2013,1920
E09000033,Westminster,2013,4622
E09000002,Barking and Dagenham,2014,1253
E09000003,Barnet,2014,1917
E09000004,Bexley,2014,1055
E09000005,Brent,2014,2017
E09000006,Bromley,2014,1583
E09000007,Camden,2014,2181
E09000008,Croydon,2014,2121
E09000009,Ealing,2014,1972
E09000010,Enfield,2014,1747
E09000011,Greenwich,2014,1646
E09000012,Hackney,2014,1988
E09000013,Hammersmith and Fulham,2014,1574
E09000014,Haringey,2014,1772
E09000015,Harrow,2014,972
E09000016,Havering,2014,1297
E09000017,Hillingdon,2014,1750
E09000018,Hounslow,2014,1652
E09000019,Islington,2014,2079
E09000020,Kensington and Chelsea,2014,1532
E09000021,Kingston upon Thames,2014,723
E09000022,Lambeth,2014,2572
E09000023,Lewisham,2014,1756
E09000024,Merton,2014,880
E09000025,Newham,2014,2314
E09000026,Redbridge,2014,1543
E09000027,Richmond upon Thames,2014,847
E09000028,Southwark,2014,2294
E09000029,Sutton,2014,797
E09000030,Tower Hamlets,2014,2036
E09000031,Waltham Forest,2014,1702
E09000032,Wandsworth,2014,1653
E09000033,Westminster,2014,3838
E09000002,Barking and Dagenham,2015,1343
E09000003,Barnet,2015,1925
E09000004,Bexley,2015,918
E09000005,Brent,2015,2021
E09000006,Bromley,2015,1725
E09000007,Camden,2015,2516
E09000008,Croydon,2015,2399
E09000009,Ealing,2015,2109
E09000010,Enfield,2015,1771
E09000011,Greenwich,2015,1740
E09000012,Hackney,2015,2215
E09000013,Hammersmith and Fulham,2015,1713
E09000014,Haringey,2015,2064
E09000015,Harrow,2015,987
E09000016,Havering,2015,1204
E09000017,Hillingdon,2015,1735
E09000018,Hounslow,2015,1629
E09000019,Islington,2015,2385
E09000020,Kensington and Chelsea,2015,1474
E09000021,Kingston upon Thames,2015,780
E09000022,Lambeth,2015,2776
E09000023,Lewisham,2015,1975
E09000024,Merton,2015,971
E09000025,Newham,2015,2239
E09000026,Redbridge,2015,1509
E09000027,Richmond upon Thames,2015,896
E09000028,Southwark,2015,2475
E09000029,Sutton,2015,930
E09000030,Tower Hamlets,2015,2145
E09000031,Waltham Forest,2015,1742
E09000032,Wandsworth,2015,1891
E09000033,Westminster,2015,3884
E09000002,Barking and Dagenham,2016,1414
E09000003,Barnet,2016,2168
E09000004,Bexley,2016,966
E09000005,Brent,2016,2217
E09000006,Bromley,2016,1584
E09000007,Camden,2016,2314
E09000008,Croydon,2016,2458
E09000009,Ealing,2016,2338
E09000010,Enfield,2016,1942
E09000011,Greenwich,2016,1871
E09000012,Hackney,2016,2279
E09000013,Hammersmith and Fulham,2016,1748
E09000014,Haringey,2016,2250
E09000015,Harrow,2016,1068
E09000016,Havering,2016,1484
E09000017,Hillingdon,2016,1704
E09000018,Hounslow,2016,1784
E09000019,Islington,2016,2167
E09000020,Kensington and Chelsea,2016,1470
E09000021,Kingston upon Thames,2016,889
E09000022,Lambeth,2016,2845
E09000023,Lewisham,2016,1964
E09000024,Merton,2016,1085
E09000025,Newham,2016,2433
E09000026,Redbridge,2016,1683
E09000027,Richmond upon Thames,2016,873
E09000028,Southwark,2016,2652
E09000029,Sutton,2016,937
E09000030,Tower Hamlets,2016,2425
E09000031,Waltham Forest,2016,1733
E09000032,Wandsworth,2016,1959
E09000033,Westminster,2016,3886
E09000002,Barking and Dagenham,2017,1497
E09000003,Barnet,2017,2207
E09000004,Bexley,2017,1093
E09000005,Brent,2017,2323
E09000006,Bromley,2017,1914
E09000007,Camden,2017,2916
E09000008,Croydon,2017,2395
E09000009,Ealing,2017,2254
E09000010,Enfield,2017,2096
E09000011,Greenwich,2017,2049
E09000012,Hackney,2017,2649
E09000013,Hammersmith and Fulham,2017,1668
E09000014,Haringey,2017,2413
E09000015,Harrow,2017,1157
E09000016,Havering,2017,1545
E09000017,Hillingdon,2017,1882
E09000018,Hounslow,2017,1877
E09000019,Islington,2017,2427
E09000020,Kensington and Chelsea,2017,1722
E09000021,Kingston upon Thames,2017,908
E09000022,Lambeth,2017,2812
E09000023,Lewisham,2017,2042
E09000024,Merton,2017,1097
E09000025,Newham,2017,2789
E09000026,Redbridge,2017,1767
E09000027,Richmond upon Thames,2017,1045
E09000028,Southwark,2017,2603
E09000029,Sutton,2017,953
E09000030,Tower Hamlets,2017,2727
E09000031,Waltham Forest,2017,1762
E09000032,Wandsworth,2017,1936
E09000033,Westminster,2017,4770
