,Code,Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,E09000002,Barking and Dagenham,1114925.146436,1077952.198502,1058779.916281,1016841.204633,950193.78246,955960.486627,911008.2657759999,894469.0491719998,875587.124102,859175.5734149,860847.1198855
1,E09000003,Barnet,2936721.412535,2876611.59545,2841971.350671,2768425.928354,2616209.1037540003,2615608.397942,2500584.7819310003,2483374.7876110002,2454210.91799,2398871.6327914,2405341.429711
2,E09000004,Bexley,1783581.888732,1729318.854789,1686509.122307,1637502.194445,1534242.242774,1534352.3720200001,1451285.879908,1448452.5787550001,1418147.3820449999,1384080.4835996001,1400829.9403651
3,E09000005,Brent,2122946.1064620004,2070635.3428779999,2050471.9105530002,1982883.397993,1863034.170503,1848307.06444,1756720.676348,1733463.666622,1717545.17482,1679885.2861494,1682977.2710787002
4,E09000006,Bromley,2772180.2796859997,2702999.928488,2655274.480667,2588627.05942,2432425.608561,2426428.639947,2310063.458873,2309612.954361,2278416.704724,2218511.4324053004,2258082.9599409997
5,E09000007,Camden,1386450.5632779999,1343500.6586499999,1328513.255334,1299599.6704270002,1242533.379483,1237267.2551409998,1182113.195449,1166274.794145,1154911.5927600001,1128116.2819888,1117881.1517281001
6,E09000001,City of London,53722.396858,52440.921808,53141.73527700001,54293.06378,52591.090854,53301.912534999996,51069.314937,50318.457189,50598.780537,48577.032037979996,48491.41438938
7,E09000008,Croydon,2820866.830399,2739522.3459010003,2699515.874676,2626941.5696529998,2454351.080117,2444910.109107,2344213.135048,2328234.576218,2299481.17604,2251326.7297515003,2288024.207096
8,E09000009,Ealing,2330206.863605,2269786.68062,2241253.539249,2177960.019276,2042813.02396,2035104.0597259998,1932494.867485,1913152.39613,1892958.940407,1844582.5459953998,1837554.097322
9,E09000010,Enfield,2231081.715537,2165996.107393,2138474.148391,2071996.912994,1944709.05168,1937090.2055139998,1836233.0441880003,1825260.301884,1797888.5042529998,1753830.5226832,1759885.080242
10,E09000011,Greenwich,1661960.602727,1612533.187345,1577943.006479,1524540.971772,1432684.273346,1429230.254519,1357967.474039,1343270.396093,1314106.524113,1287452.0185619001,1299507.3694339998
11,E09000012,Hackney,1438481.003732,1385229.1474330002,1375367.686889,1332287.641877,1252925.460145,1251914.2766210001,1196099.438026,1173693.415117,1158655.955513,1136401.1411337,1126144.9898311
12,E09000013,Hammersmith and Fulham,1279236.013489,1234173.6764729999,1212588.587647,1185747.410164,1119240.1613949998,1117698.3753769998,1055416.013903,1041800.199902,1029405.801859,1006923.5190169,998021.188073
13,E09000014,Haringey,1841969.711345,1777074.3307289998,1746378.665673,1683966.173863,1578023.0931519999,1569012.630364,1487417.847316,1458514.283112,1439111.735942,1396210.6496177001,1396324.9134506998
14,E09000015,Harrow,1851090.310664,1811904.7854129998,1797227.725714,1742153.757988,1638493.332392,1641907.3079309997,1568742.3104080001,1554315.55851,1547067.143878,1519335.3764399,1524458.4939837
15,E09000016,Havering,1931443.6477409997,1876599.933389,1838685.9037489998,1783661.979883,1668187.8448919998,1670810.882579,1575810.521464,1568101.572952,1535013.132824,1499234.6686022999,1507301.308638
16,E09000017,Hillingdon,1968296.45763,1930102.0883789998,1903661.373336,1850569.6973859998,1739991.2438819997,1736166.8076789998,1654151.536306,1646622.784988,1631094.746259,1599982.1835031998,1597615.4145880002
