Code,Area,Year,Electricity_consumption
E09000002,Barking and Dagenham,2011,242880.0
E09000003,Barnet,2011,554580.0
E09000004,Bexley,2011,342130.0
E09000005,Brent,2011,377830.0
E09000006,Bromley,2011,502879.99999999994
E09000007,Camden,2011,312590.0
E09000001,City of London,2011,21980.0
E09000008,Croydon,2011,532060.0
E09000009,Ealing,2011,427849.99999999994
E09000010,Enfield,2011,446689.99999999994
E09000011,Greenwich,2011,331490.0
E09000012,Hackney,2011,304920.0
E09000013,Hammersmith and Fulham,2011,250270.0
E09000014,Haringey,2011,332580.0
E09000015,Harrow,2011,316410.0
E09000016,Havering,2011,365430.0
E09000017,Hillingdon,2011,380200.00000000006
E09000018,Hounslow,2011,339590.00000000006
E09000019,Islington,2011,278240.0
E09000020,Kensington and Chelsea,2011,330439.99999999994
E09000021,Kingston upon Thames,2011,240360.0
E09000022,Lambeth,2011,391650.0
E09000023,Lewisham,2011,369260.0
E09000024,Merton,2011,280970.0
E09000025,Newham,2011,332010.0
E09000026,Redbridge,2011,363710.0
E09000027,Richmond upon Thames,2011,304120.0
E09000028,Southwark,2011,397380.0
E09000029,Sutton,2011,297950.0
E09000030,Tower Hamlets,2011,345420.0
E09000031,Waltham Forest,2011,317810.0
E09000032,Wandsworth,2011,437239.99999999994
E09000033,Westminster,2011,430640.0
E09000002,Barking and Dagenham,2012,236510.0
E09000003,Barnet,2012,549780.0
E09000004,Bexley,2012,336970.0
E09000005,Brent,2012,376770.0
E09000006,Bromley,2012,496130.0
E09000007,Camden,2012,310250.0
E09000001,City of London,2012,22830.0
E09000008,Croydon,2012,528050.0
E09000009,Ealing,2012,425020.0
E09000010,Enfield,2012,441470.0
E09000011,Greenwich,2012,326330.0
E09000012,Hackney,2012,301170.0
E09000013,Hammersmith and Fulham,2012,249480.0
E09000014,Haringey,2012,324069.99999999994
E09000015,Harrow,2012,311190.0
E09000016,Havering,2012,359480.0
E09000017,Hillingdon,2012,376900.0
E09000018,Hounslow,2012,337260.0
E09000019,Islington,2012,279210.0
E09000020,Kensington and Chelsea,2012,331890.0
E09000021,Kingston upon Thames,2012,240530.0
E09000022,Lambeth,2012,389630.0
E09000023,Lewisham,2012,366750.0
E09000024,Merton,2012,279010.0
E09000025,Newham,2012,329709.99999999994
E09000026,Redbridge,2012,359500.0
E09000027,Richmond upon Thames,2012,302760.0
E09000028,Southwark,2012,393880.0
E09000029,Sutton,2012,295130.0
E09000030,Tower Hamlets,2012,351980.0
E09000031,Waltham Forest,2012,313680.0
E09000032,Wandsworth,2012,438390.0
E09000033,Westminster,2012,433120.0
E09000002,Barking and Dagenham,2013,232180.0
E09000003,Barnet,2013,543970.0
E09000004,Bexley,2013,332770.0
E09000005,Brent,2013,370450.0
E09000006,Bromley,2013,491490.0
E09000007,Camden,2013,307950.0
E09000001,City of London,2013,23060.0
E09000008,Croydon,2013,523380.0
E09000009,Ealing,2013,420340.0
E09000010,Enfield,2013,435240.0
E09000011,Greenwich,2013,322130.0
E09000012,Hackney,2013,299550.0
E09000013,Hammersmith and Fulham,2013,246450.0
E09000014,Haringey,2013,319520.0
E09000015,Harrow,2013,309820.0
E09000016,Havering,2013,358360.0
E09000017,Hillingdon,2013,376110.0
E09000018,Hounslow,2013,333250.0
E09000019,Islington,2013,275330.0
E09000020,Kensington and Chelsea,2013,326980.0
E09000021,Kingston upon Thames,2013,235150.0
E09000022,Lambeth,2013,385430.0
E09000023,Lewisham,2013,360720.0
E09000024,Merton,2013,276510.0
E09000025,Newham,2013,324010.00000000006
E09000026,Redbridge,2013,353730.0
E09000027,Richmond upon Thames,2013,299090.0
E09000028,Southwark,2013,385170.00000000006
E09000029,Sutton,2013,289930.0
E09000030,Tower Hamlets,2013,343420.0
E09000031,Waltham Forest,2013,308930.0
E09000032,Wandsworth,2013,431140.0
E09000033,Westminster,2013,423980.00000000006
E09000002,Barking and Dagenham,2014,234654.6881
E09000003,Barnet,2014,544339.2853999999
E09000004,Bexley,2014,336886.4188
E09000005,Brent,2014,374564.2649
E09000006,Bromley,2014,491815.6421
E09000007,Camden,2014,309718.3574
E09000001,City of London,2014,24009.46352
E09000008,Croydon,2014,524259.9178
E09000009,Ealing,2014,420390.6164
E09000010,Enfield,2014,436598.2995
E09000011,Greenwich,2014,327895.1619
E09000012,Hackney,2014,304284.3579
E09000013,Hammersmith and Fulham,2014,251358.82559999998
E09000014,Haringey,2014,319702.2659
E09000015,Harrow,2014,310853.70279999997
E09000016,Havering,2014,360191.9408
E09000017,Hillingdon,2014,376793.8351
E09000018,Hounslow,2014,334996.3837
E09000019,Islington,2014,279948.97250000003
E09000020,Kensington and Chelsea,2014,328920.5247
E09000021,Kingston upon Thames,2014,235453.4458
E09000022,Lambeth,2014,386622.76230000006
E09000023,Lewisham,2014,363535.0127
E09000024,Merton,2014,279338.6411
E09000025,Newham,2014,331713.0503
E09000026,Redbridge,2014,357468.287
E09000027,Richmond upon Thames,2014,300129.0992
E09000028,Southwark,2014,389679.8803
E09000029,Sutton,2014,290593.2968
E09000030,Tower Hamlets,2014,353369.64639999997
E09000031,Waltham Forest,2014,311373.1336
E09000032,Wandsworth,2014,435581.4691
E09000033,Westminster,2014,426742.50460000004
E09000002,Barking and Dagenham,2015,230320.715
E09000003,Barnet,2015,539028.5512999999
E09000004,Bexley,2015,331464.1744
E09000005,Brent,2015,367804.7956
E09000006,Bromley,2015,486575.8244
E09000007,Camden,2015,301731.5354
E09000001,City of London,2015,23543.24363
E09000008,Croydon,2015,516943.1196
E09000009,Ealing,2015,412706.16349999997
E09000010,Enfield,2015,430392.7347
E09000011,Greenwich,2015,323013.3487
E09000012,Hackney,2015,296575.8827
E09000013,Hammersmith and Fulham,2015,246670.24850000002
E09000014,Haringey,2015,316776.3345
E09000015,Harrow,2015,306079.5887
E09000016,Havering,2015,356928.7957
E09000017,Hillingdon,2015,371884.5102
E09000018,Hounslow,2015,331141.23829999997
E09000019,Islington,2015,273528.9396
E09000020,Kensington and Chelsea,2015,321213.12940000003
E09000021,Kingston upon Thames,2015,231369.0334
E09000022,Lambeth,2015,379540.13600000006
E09000023,Lewisham,2015,356222.0694
E09000024,Merton,2015,275297.5404
E09000025,Newham,2015,324518.27270000003
E09000026,Redbridge,2015,350032.37200000003
E09000027,Richmond upon Thames,2015,295994.0314
E09000028,Southwark,2015,379950.18940000003
E09000029,Sutton,2015,286224.3125
E09000030,Tower Hamlets,2015,346919.011
E09000031,Waltham Forest,2015,305888.31309999997
E09000032,Wandsworth,2015,429244.1206
E09000033,Westminster,2015,414252.422
E09000002,Barking and Dagenham,2011,282.462884
E09000003,Barnet,2011,644.972196
E09000004,Bexley,2011,397.898805
E09000005,Brent,2011,439.409746
E09000006,Bromley,2011,584.842502
E09000007,Camden,2011,363.540452
E09000001,City of London,2011,25.558158
E09000008,Croydon,2011,618.783766
E09000009,Ealing,2011,497.585708
E09000010,Enfield,2011,519.493802
E09000011,Greenwich,2011,385.524258
E09000012,Hackney,2011,354.614965
E09000013,Hammersmith and Fulham,2011,291.06481
E09000014,Haringey,2011,386.793284
E09000015,Harrow,2011,367.979977
E09000016,Havering,2011,424.990408
E09000017,Hillingdon,2011,442.168082
E09000018,Hounslow,2011,394.941275
