Code,Area,Year,Gas_consumption
E09000002,Barking and Dagenham,2011,667069.9999999999
E09000003,Barnet,2011,1943100.0
E09000004,Bexley,2011,1107470.0
E09000005,Brent,2011,1376850.0
E09000006,Bromley,2011,1804500.0
E09000007,Camden,2011,868150.0
E09000001,City of London,2011,29030.0
E09000008,Croydon,2011,1809430.0000000002
E09000009,Ealing,2011,1502400.0
E09000010,Enfield,2011,1387410.0000000002
E09000011,Greenwich,2011,1024900.0
E09000012,Hackney,2011,889790.0
E09000013,Hammersmith and Fulham,2011,803920.0
E09000014,Haringey,2011,1153110.0
E09000015,Harrow,2011,1250510.0
E09000016,Havering,2011,1208550.0
E09000017,Hillingdon,2011,1272030.0
E09000018,Hounslow,2011,1037270.0
E09000019,Islington,2011,830040.0
E09000020,Kensington and Chelsea,2011,806930.0
E09000021,Kingston upon Thames,2011,791110.0
E09000022,Lambeth,2011,1263400.0
E09000023,Lewisham,2011,1196220.0
E09000024,Merton,2011,950870.0
E09000025,Newham,2011,993540.0
E09000026,Redbridge,2011,1285020.0
E09000027,Richmond upon Thames,2011,1067080.0
E09000028,Southwark,2011,948520.0
E09000029,Sutton,2011,925080.0
E09000030,Tower Hamlets,2011,647950.0
E09000031,Waltham Forest,2011,1078390.0
E09000032,Wandsworth,2011,1368080.0
E09000033,Westminster,2011,892790.0
E09000002,Barking and Dagenham,2012,656919.9999999999
E09000003,Barnet,2012,1930710.0
E09000004,Bexley,2012,1109800.0
E09000005,Brent,2012,1354680.0
E09000006,Bromley,2012,1810800.0000000002
E09000007,Camden,2012,854670.0
E09000001,City of London,2012,27430.0
E09000008,Croydon,2012,1797480.0
E09000009,Ealing,2012,1485910.0
E09000010,Enfield,2012,1381670.0
E09000011,Greenwich,2012,1015380.0
E09000012,Hackney,2012,871160.0
E09000013,Hammersmith and Fulham,2012,791110.0
E09000014,Haringey,2012,1132750.0
E09000015,Harrow,2012,1241320.0
E09000016,Havering,2012,1206800.0
E09000017,Hillingdon,2012,1267810.0
E09000018,Hounslow,2012,1026940.0
E09000019,Islington,2012,814190.0
E09000020,Kensington and Chelsea,2012,789539.9999999999
E09000021,Kingston upon Thames,2012,791570.0
E09000022,Lambeth,2012,1245350.0
E09000023,Lewisham,2012,1179980.0
E09000024,Merton,2012,943740.0
E09000025,Newham,2012,963680.0
E09000026,Redbridge,2012,1276490.0
E09000027,Richmond upon Thames,2012,1065920.0
E09000028,Southwark,2012,928790.0
E09000029,Sutton,2012,925909.9999999999
E09000030,Tower Hamlets,2012,629260.0
E09000031,Waltham Forest,2012,1068350.0
E09000032,Wandsworth,2012,1362290.0000000002
E09000033,Westminster,2012,872710.0
E09000002,Barking and Dagenham,2013,642390.0
E09000003,Barnet,2013,1907390.0
E09000004,Bexley,2013,1083730.0
E09000005,Brent,2013,1345100.0
E09000006,Bromley,2013,1784280.0
E09000007,Camden,2013,845620.0
E09000001,City of London,2013,27480.000000000004
E09000008,Croydon,2013,1773430.0
E09000009,Ealing,2013,1470420.0
E09000010,Enfield,2013,1360560.0
E09000011,Greenwich,2013,990450.0
E09000012,Hackney,2013,857760.0
E09000013,Hammersmith and Fulham,2013,781760.0
E09000014,Haringey,2013,1117920.0
E09000015,Harrow,2013,1235450.0
E09000016,Havering,2013,1174870.0
E09000017,Hillingdon,2013,1253090.0
E09000018,Hounslow,2013,1016350.0
E09000019,Islington,2013,799740.0
E09000020,Kensington and Chelsea,2013,782410.0
E09000021,Kingston upon Thames,2013,783010.0
E09000022,Lambeth,2013,1223750.0
E09000023,Lewisham,2013,1157560.0
E09000024,Merton,2013,934140.0
E09000025,Newham,2013,948000.0
E09000026,Redbridge,2013,1256360.0
E09000027,Richmond upon Thames,2013,1053260.0
E09000028,Southwark,2013,912170.0
E09000029,Sutton,2013,912830.0
E09000030,Tower Hamlets,2013,623980.0
E09000031,Waltham Forest,2013,1051340.0
E09000032,Wandsworth,2013,1339810.0
E09000033,Westminster,2013,863169.9999999999
E09000002,Barking and Dagenham,2014,623522.8304
E09000003,Barnet,2014,1851745.716
E09000004,Bexley,2014,1045586.258
E09000005,Brent,2014,1303369.595
E09000006,Bromley,2014,1724118.6730000002
E09000007,Camden,2014,817087.4567
E09000001,City of London,2014,24511.13937
E09000008,Croydon,2014,1724451.575
E09000009,Ealing,2014,1422049.184
E09000010,Enfield,2014,1315194.899
E09000011,Greenwich,2014,958061.2976
E09000012,Hackney,2014,830796.6913
E09000013,Hammersmith and Fulham,2014,754395.0082
E09000014,Haringey,2014,1074886.486
E09000015,Harrow,2014,1206716.749
E09000016,Havering,2014,1137301.153
E09000017,Hillingdon,2014,1221329.741
E09000018,Hounslow,2014,988662.8491
E09000019,Islington,2014,770237.9005
E09000020,Kensington and Chelsea,2014,753358.4193999999
E09000021,Kingston upon Thames,2014,760027.0709
E09000022,Lambeth,2014,1176805.103
E09000023,Lewisham,2014,1120584.253
E09000024,Merton,2014,904152.7737
E09000025,Newham,2014,921367.313
E09000026,Redbridge,2014,1219679.68
E09000027,Richmond upon Thames,2014,1023015.981
E09000028,Southwark,2014,878963.0167
E09000029,Sutton,2014,884213.0534000001
E09000030,Tower Hamlets,2014,587558.6887
E09000031,Waltham Forest,2014,1021724.111
E09000032,Wandsworth,2014,1294786.537
E09000033,Westminster,2014,796401.6219
E09000002,Barking and Dagenham,2015,629022.3642000001
E09000003,Barnet,2015,1862675.455
E09000004,Bexley,2015,1067220.3360000001
E09000005,Brent,2015,1312751.4500000002
E09000006,Bromley,2015,1768331.236
E09000007,Camden,2015,814629.6
E09000001,City of London,2015,24686.00384
E09000008,Croydon,2015,1767978.252
E09000009,Ealing,2015,1421946.388
E09000010,Enfield,2015,1326450.739
E09000011,Greenwich,2015,974367.5349999999
E09000012,Hackney,2015,828032.9657000001
E09000013,Hammersmith and Fulham,2015,749856.6614000001
E09000014,Haringey,2015,1077652.809
E09000015,Harrow,2015,1216431.563
E09000016,Havering,2015,1147555.891
E09000017,Hillingdon,2015,1221982.11
E09000018,Hounslow,2015,986955.7521
E09000019,Islington,2015,769179.1182
E09000020,Kensington and Chelsea,2015,746829.821
E09000021,Kingston upon Thames,2015,768820.5686000001
E09000022,Lambeth,2015,1189495.089
E09000023,Lewisham,2015,1144147.762
E09000024,Merton,2015,919999.4134000001
E09000025,Newham,2015,928715.2009
E09000026,Redbridge,2015,1227088.808
E09000027,Richmond upon Thames,2015,1013979.991
E09000028,Southwark,2015,888552.3467999999
E09000029,Sutton,2015,899989.2685
E09000030,Tower Hamlets,2015,587078.4994
E09000031,Waltham Forest,2015,1027383.45
E09000032,Wandsworth,2015,1303441.6840000001
E09000033,Westminster,2015,792771.4279
E09000002,Barking and Dagenham,2011,775.802892
E09000003,Barnet,2011,2259.809735
E09000004,Bexley,2011,1287.981103
E09000005,Brent,2011,1601.266602
E09000006,Bromley,2011,2098.616371
E09000007,Camden,2011,1009.654997
E09000001,City of London,2011,33.756779
E09000008,Croydon,2011,2104.351282
E09000009,Ealing,2011,1747.281777
E09000010,Enfield,2011,1613.550386
E09000011,Greenwich,2011,1191.949781
E09000012,Hackney,2011,1034.823061
E09000013,Hammersmith and Fulham,2011,934.949093
E09000014,Haringey,2011,1341.054032
E09000015,Harrow,2011,1454.330431
E09000016,Havering,2011,1405.531056
E09000017,Hillingdon,2011,1479.368224
E09000018,Hounslow,2011,1206.34122
E09000019,Islington,2011,965.326908
E09000020,Kensington and Chelsea,2011,938.454522
E09000021,Kingston upon Thames,2011,920.050352
E09000022,Lambeth,2011,1469.326222
E09000023,Lewisham,2011,1391.197594
E09000024,Merton,2011,1105.856908
E09000025,Newham,2011,1155.481667
E09000026,Redbridge,2011,1494.471016
E09000027,Richmond upon Thames,2011,1241.006441
E09000028,Southwark,2011,1103.128302
E09000029,Sutton,2011,1075.857144
E09000030,Tower Hamlets,2011,753.564096
E09000031,Waltham Forest,2011,1254.160487
E09000032,Wandsworth,2011,1591.070649
E09000033,Westminster,2011,1038.3067
E09000002,Barking and Dagenham,2012,763.993757
E09000003,Barnet,2012,2245.400338
E09000004,Bexley,2012,1290.685492
E09000005,Brent,2012,1575.483438
E09000006,Bromley,2012,2105.954469
E09000007,Camden,2012,993.979793
E09000001,City of London,2012,31.903848
E09000008,Croydon,2012,2090.455868
E09000009,Ealing,2012,1728.101039
E09000010,Enfield,2012,1606.872081
E09000011,Greenwich,2012,1180.87851
E09000012,Hackney,2012,1013.155669
E09000013,Hammersmith and Fulham,2012,920.054409
E09000014,Haringey,2012,1317.386135
E09000015,Harrow,2012,1443.649847
E09000016,Havering,2012,1403.50054
E09000017,Hillingdon,2012,1474.455057
E09000018,Hounslow,2012,1194.32839
E09000019,Islington,2012,946.896178
E09000020,Kensington and Chelsea,2012,918.233379
