Code,Area,Year,Median_annual_earning
E09000001,City of London,2011,54381
E09000002,Barking and Dagenham,2011,28201
E09000003,Barnet,2011,30237
E09000004,Bexley,2011,28638
E09000005,Brent,2011,26772
E09000006,Bromley,2011,28163
E09000007,Camden,2011,35967
E09000008,Croydon,2011,28979
E09000009,Ealing,2011,28646
E09000010,Enfield,2011,26412
E09000011,Greenwich,2011,29932
E09000012,Hackney,2011,33512
E09000013,Hammersmith and Fulham,2011,36143
E09000014,Haringey,2011,28032
E09000015,Harrow,2011,27540
E09000016,Havering,2011,28415
E09000017,Hillingdon,2011,33589
E09000018,Hounslow,2011,32759
E09000019,Islington,2011,36000
E09000020,Kensington and Chelsea,2011,31491
E09000021,Kingston upon Thames,2011,28997
E09000022,Lambeth,2011,34836
E09000023,Lewisham,2011,29567
E09000024,Merton,2011,28066
E09000025,Newham,2011,29998
E09000026,Redbridge,2011,29829
E09000027,Richmond upon Thames,2011,32197
E09000028,Southwark,2011,36124
E09000029,Sutton,2011,26743
E09000030,Tower Hamlets,2011,45970
E09000031,Waltham Forest,2011,28005
E09000032,Wandsworth,2011,32033
E09000033,Westminster,2011,37406
E09000001,City of London,2012,54000
E09000002,Barking and Dagenham,2012,33131
E09000003,Barnet,2012,29594
E09000004,Bexley,2012,27440
E09000005,Brent,2012,27577
E09000006,Bromley,2012,28082
E09000007,Camden,2012,36962
E09000008,Croydon,2012,28974
E09000009,Ealing,2012,31104
E09000010,Enfield,2012,27123
E09000011,Greenwich,2012,30097
E09000012,Hackney,2012,34803
E09000013,Hammersmith and Fulham,2012,35136
E09000014,Haringey,2012,29116
E09000015,Harrow,2012,26738
E09000016,Havering,2012,28326
E09000017,Hillingdon,2012,33822
E09000018,Hounslow,2012,31821
E09000019,Islington,2012,36653
E09000020,Kensington and Chelsea,2012,30726
E09000021,Kingston upon Thames,2012,29067
E09000022,Lambeth,2012,35280
E09000023,Lewisham,2012,29995
E09000024,Merton,2012,28613
E09000025,Newham,2012,30540
