Code,Area,Year,Number_of_dwellings
E09000001,City of London,2011,5513.0
E09000002,Barking and Dagenham,2011,71079.0
E09000003,Barnet,2011,139346.0
E09000004,Bexley,2011,95037.0
E09000005,Brent,2011,112083.0
E09000006,Bromley,2011,135036.0
E09000007,Camden,2011,99828.0
E09000008,Croydon,2011,148099.0
E09000009,Ealing,2011,127187.0
E09000010,Enfield,2011,122042.0
E09000011,Greenwich,2011,103186.0
E09000012,Hackney,2011,102408.0
E09000013,Hammersmith and Fulham,2011,82390.0
E09000014,Haringey,2011,104173.0
E09000015,Harrow,2011,86524.0
E09000016,Havering,2011,99184.0
E09000017,Hillingdon,2011,103907.0
E09000018,Hounslow,2011,96892.0
E09000019,Islington,2011,96872.0
E09000020,Kensington and Chelsea,2011,84798.0
E09000021,Kingston upon Thames,2011,65198.0
E09000022,Lambeth,2011,132213.0
E09000023,Lewisham,2011,117651.0
E09000024,Merton,2011,80919.0
E09000025,Newham,2011,103212.0
E09000026,Redbridge,2011,101348.0
E09000027,Richmond upon Thames,2011,82482.0
E09000028,Southwark,2011,123265.0
E09000029,Sutton,2011,79696.0
E09000030,Tower Hamlets,2011,105379.0
E09000031,Waltham Forest,2011,98279.0
E09000032,Wandsworth,2011,134619.0
E09000033,Westminster,2011,118318.0
E09000001,City of London,2012,5531.0
E09000002,Barking and Dagenham,2012,71431.0
E09000003,Barnet,2012,141460.6454816286
E09000004,Bexley,2012,95240.0
E09000005,Brent,2012,112643.0
E09000006,Bromley,2012,135612.0
E09000007,Camden,2012,100196.0
E09000008,Croydon,2012,148806.0
E09000009,Ealing,2012,127872.0
E09000010,Enfield,2012,122339.0
E09000011,Greenwich,2012,104509.0
E09000012,Hackney,2012,103564.6018641811
E09000013,Hammersmith and Fulham,2012,82861.0
E09000014,Haringey,2012,105456.0
E09000015,Harrow,2012,86994.0
E09000016,Havering,2012,99226.0
E09000017,Hillingdon,2012,104896.0
E09000018,Hounslow,2012,97472.0
E09000019,Islington,2012,98096.0
E09000020,Kensington and Chelsea,2012,84900.0
E09000021,Kingston upon Thames,2012,65422.0
E09000022,Lambeth,2012,133063.0
E09000023,Lewisham,2012,118839.0
E09000024,Merton,2012,81429.0
E09000025,Newham,2012,104121.0
E09000026,Redbridge,2012,101874.0
E09000027,Richmond upon Thames,2012,82691.0
E09000028,Southwark,2012,124319.0
E09000029,Sutton,2012,80283.0
E09000030,Tower Hamlets,2012,108254.12926136363
E09000031,Waltham Forest,2012,98783.0
E09000032,Wandsworth,2012,135601.0
E09000033,Westminster,2012,119245.0
E09000001,City of London,2013,5566.0
E09000002,Barking and Dagenham,2013,71937.0
E09000003,Barnet,2013,142834.6454816286
E09000004,Bexley,2013,95658.0
E09000005,Brent,2013,113305.0
E09000006,Bromley,2013,136304.0
E09000007,Camden,2013,100760.0
E09000008,Croydon,2013,149697.0
E09000009,Ealing,2013,128862.0
E09000010,Enfield,2013,122888.0
E09000011,Greenwich,2013,104623.0
E09000012,Hackney,2013,104364.6018641811
E09000013,Hammersmith and Fulham,2013,83281.0
E09000014,Haringey,2013,106033.0
E09000015,Harrow,2013,87709.0
E09000016,Havering,2013,99463.0
E09000017,Hillingdon,2013,106363.0
E09000018,Hounslow,2013,97704.0
E09000019,Islington,2013,99015.0
E09000020,Kensington and Chelsea,2013,84957.0
E09000021,Kingston upon Thames,2013,65625.0
E09000022,Lambeth,2013,133598.0
E09000023,Lewisham,2013,120637.0
E09000024,Merton,2013,81842.0
E09000025,Newham,2013,104791.0
E09000026,Redbridge,2013,102138.0
E09000027,Richmond upon Thames,2013,83176.0
E09000028,Southwark,2013,125566.0
E09000029,Sutton,2013,80510.0
E09000030,Tower Hamlets,2013,109215.12926136363
E09000031,Waltham Forest,2013,99251.0
E09000032,Wandsworth,2013,136558.0
E09000033,Westminster,2013,119837.0
E09000001,City of London,2014,6003.0
E09000002,Barking and Dagenham,2014,72668.0
E09000003,Barnet,2014,143947.6454816286
E09000004,Bexley,2014,96186.0
E09000005,Brent,2014,114039.0
E09000006,Bromley,2014,136453.0
E09000007,Camden,2014,101214.0
E09000008,Croydon,2014,150992.0
E09000009,Ealing,2014,129631.0
E09000010,Enfield,2014,123400.0
E09000011,Greenwich,2014,105735.0
E09000012,Hackney,2014,105489.6018641811
E09000013,Hammersmith and Fulham,2014,83907.0
E09000014,Haringey,2014,106507.0
E09000015,Harrow,2014,88004.0
E09000016,Havering,2014,99619.0
E09000017,Hillingdon,2014,106917.0
E09000018,Hounslow,2014,98390.0
E09000019,Islington,2014,100258.0
E09000020,Kensington and Chelsea,2014,85553.0
E09000021,Kingston upon Thames,2014,65886.0
E09000022,Lambeth,2014,134852.0
E09000023,Lewisham,2014,121350.0
E09000024,Merton,2014,82282.0
E09000025,Newham,2014,106760.0
E09000026,Redbridge,2014,102396.0
E09000027,Richmond upon Thames,2014,83540.0
E09000028,Southwark,2014,127217.0
E09000029,Sutton,2014,80810.0
E09000030,Tower Hamlets,2014,109875.12926136363
E09000031,Waltham Forest,2014,99640.0
E09000032,Wandsworth,2014,137757.0
E09000033,Westminster,2014,120367.0
E09000001,City of London,2015,6229.0
E09000002,Barking and Dagenham,2015,73182.0
E09000003,Barnet,2015,145271.6454816286
E09000004,Bexley,2015,96996.0
E09000005,Brent,2015,115598.0
E09000006,Bromley,2015,136864.0
E09000007,Camden,2015,101653.0
E09000008,Croydon,2015,152515.0
E09000009,Ealing,2015,130528.0
E09000010,Enfield,2015,123799.0
E09000011,Greenwich,2015,106883.0
E09000012,Hackney,2015,106747.6018641811
E09000013,Hammersmith and Fulham,2015,85267.0
E09000014,Haringey,2015,106640.0
E09000015,Harrow,2015,88414.0
E09000016,Havering,2015,100261.0
E09000017,Hillingdon,2015,107462.0
E09000018,Hounslow,2015,98787.0
E09000019,Islington,2015,100756.0
E09000020,Kensington and Chelsea,2015,86537.0
E09000021,Kingston upon Thames,2015,66412.0
E09000022,Lambeth,2015,136263.0
E09000023,Lewisham,2015,122818.0
E09000024,Merton,2015,82707.0
E09000025,Newham,2015,108810.0
E09000026,Redbridge,2015,102653.0
E09000027,Richmond upon Thames,2015,83781.0
E09000028,Southwark,2015,128358.0
E09000029,Sutton,2015,81237.0
E09000030,Tower Hamlets,2015,110791.12926136363
E09000031,Waltham Forest,2015,100311.0
E09000032,Wandsworth,2015,138841.0
E09000033,Westminster,2015,121116.0
E09000001,City of London,2016,6306.0
E09000002,Barking and Dagenham,2016,73914.0
E09000003,Barnet,2016,146729.6454816286
E09000004,Bexley,2016,96864.0
E09000005,Brent,2016,116649.0
E09000006,Bromley,2016,137564.0
E09000007,Camden,2016,102618.0
E09000008,Croydon,2016,154559.0
E09000009,Ealing,2016,131249.0
E09000010,Enfield,2016,124471.0
E09000011,Greenwich,2016,108603.0
E09000012,Hackney,2016,107573.6018641811
E09000013,Hammersmith and Fulham,2016,85635.0
E09000014,Haringey,2016,106879.0
E09000015,Harrow,2016,89324.0
E09000016,Havering,2016,101273.0
E09000017,Hillingdon,2016,108171.0
E09000018,Hounslow,2016,99267.0
E09000019,Islington,2016,101783.0
E09000020,Kensington and Chelsea,2016,86921.0
E09000021,Kingston upon Thames,2016,66651.0
E09000022,Lambeth,2016,137610.0
E09000023,Lewisham,2016,124357.0
E09000024,Merton,2016,83215.0
E09000025,Newham,2016,110251.0
E09000026,Redbridge,2016,102707.0
E09000027,Richmond upon Thames,2016,84294.0
E09000028,Southwark,2016,129740.0
E09000029,Sutton,2016,81628.0
E09000030,Tower Hamlets,2016,113185.12926136363
E09000031,Waltham Forest,2016,101284.0
E09000032,Wandsworth,2016,141579.0
E09000033,Westminster,2016,122024.0
E09000001,City of London,2017,6313.0
E09000002,Barking and Dagenham,2017,74510.0
E09000003,Barnet,2017,148528.6454816286
E09000004,Bexley,2017,97628.0
E09000005,Brent,2017,118013.0
E09000006,Bromley,2017,138422.0
E09000007,Camden,2017,103826.0
E09000008,Croydon,2017,157394.0
E09000009,Ealing,2017,132094.0
E09000010,Enfield,2017,125369.0
E09000011,Greenwich,2017,110983.0
E09000012,Hackney,2017,108769.6018641811
E09000013,Hammersmith and Fulham,2017,86609.0
E09000014,Haringey,2017,107620.0
E09000015,Harrow,2017,89980.0
E09000016,Havering,2017,101716.0
E09000017,Hillingdon,2017,108935.0
E09000018,Hounslow,2017,99824.0
E09000019,Islington,2017,102457.0
E09000020,Kensington and Chelsea,2017,87276.0
E09000021,Kingston upon Thames,2017,66924.0
E09000022,Lambeth,2017,138745.0
E09000023,Lewisham,2017,125961.0
E09000024,Merton,2017,83649.0
E09000025,Newham,2017,112628.0
E09000026,Redbridge,2017,103462.0
E09000027,Richmond upon Thames,2017,84759.0
E09000028,Southwark,2017,132152.0
E09000029,Sutton,2017,82281.0
E09000030,Tower Hamlets,2017,118012.12926136363
E09000031,Waltham Forest,2017,102317.0
E09000032,Wandsworth,2017,143915.0
E09000033,Westminster,2017,123366.0
