Code,Area,Year,Mean_life_satisfaction
E09000002,Barking and Dagenham,2011,7.05
E09000003,Barnet,2011,7.43
E09000004,Bexley,2011,7.42
E09000005,Brent,2011,7.11
E09000006,Bromley,2011,7.5
E09000007,Camden,2011,7.25
E09000008,Croydon,2011,7.04
E09000009,Ealing,2011,7.22
E09000010,Enfield,2011,7.23
E09000011,Greenwich,2011,7.18
E09000012,Hackney,2011,7.0
E09000013,Hammersmith and Fulham,2011,7.38
E09000014,Haringey,2011,7.11
E09000015,Harrow,2011,7.31
E09000016,Havering,2011,7.35
E09000017,Hillingdon,2011,7.4
E09000018,Hounslow,2011,7.26
E09000019,Islington,2011,7.09
E09000020,Kensington and Chelsea,2011,7.57
E09000021,Kingston upon Thames,2011,7.33
E09000022,Lambeth,2011,7.13
E09000023,Lewisham,2011,7.05
E09000024,Merton,2011,7.14
E09000025,Newham,2011,7.12
E09000026,Redbridge,2011,7.33
E09000027,Richmond upon Thames,2011,7.52
E09000028,Southwark,2011,7.36
E09000029,Sutton,2011,7.39
E09000030,Tower Hamlets,2011,7.02
E09000031,Waltham Forest,2011,7.18
E09000032,Wandsworth,2011,7.46
E09000033,Westminster,2011,7.33
E09000002,Barking and Dagenham,2012,7.09
E09000003,Barnet,2012,7.28
E09000004,Bexley,2012,7.42
E09000005,Brent,2012,7.28
E09000006,Bromley,2012,7.6
E09000007,Camden,2012,7.24
E09000008,Croydon,2012,7.01
E09000009,Ealing,2012,7.22
E09000010,Enfield,2012,7.24
E09000011,Greenwich,2012,7.15
E09000012,Hackney,2012,7.07
E09000013,Hammersmith and Fulham,2012,7.21
E09000014,Haringey,2012,7.17
E09000015,Harrow,2012,7.37
E09000016,Havering,2012,7.36
E09000017,Hillingdon,2012,7.37
E09000018,Hounslow,2012,7.35
E09000019,Islington,2012,7.14
E09000020,Kensington and Chelsea,2012,7.7
E09000021,Kingston upon Thames,2012,7.17
E09000022,Lambeth,2012,7.08
E09000023,Lewisham,2012,7.23
E09000024,Merton,2012,7.18
E09000025,Newham,2012,7.23
E09000026,Redbridge,2012,7.3
E09000027,Richmond upon Thames,2012,7.4
E09000028,Southwark,2012,7.21
E09000029,Sutton,2012,7.28
E09000030,Tower Hamlets,2012,7.32
E09000031,Waltham Forest,2012,7.24
E09000032,Wandsworth,2012,7.26
E09000033,Westminster,2012,7.0
E09000002,Barking and Dagenham,2013,7.01
E09000003,Barnet,2013,7.4
E09000004,Bexley,2013,7.28
E09000005,Brent,2013,7.41
E09000006,Bromley,2013,7.53
E09000007,Camden,2013,7.11
E09000008,Croydon,2013,7.36
E09000009,Ealing,2013,7.24
E09000010,Enfield,2013,7.28
E09000011,Greenwich,2013,7.15
E09000012,Hackney,2013,7.05
E09000013,Hammersmith and Fulham,2013,7.4
E09000014,Haringey,2013,7.28
E09000015,Harrow,2013,7.51
E09000016,Havering,2013,7.51
E09000017,Hillingdon,2013,7.5
E09000018,Hounslow,2013,7.33
E09000019,Islington,2013,7.35
E09000020,Kensington and Chelsea,2013,7.67
E09000021,Kingston upon Thames,2013,7.43
E09000022,Lambeth,2013,7.01
E09000023,Lewisham,2013,7.34
E09000024,Merton,2013,7.43
E09000025,Newham,2013,7.24
