Code,Year,Area,Persons
E09000002,2011,Barking and Dagenham,187029
E09000002,2012,Barking and Dagenham,190560
E09000002,2013,Barking and Dagenham,194352
E09000002,2014,Barking and Dagenham,198294
E09000002,2015,Barking and Dagenham,201979
E09000002,2016,Barking and Dagenham,206460
E09000002,2017,Barking and Dagenham,210711
E09000003,2011,Barnet,357538
E09000003,2012,Barnet,363956
E09000003,2013,Barnet,369088
E09000003,2014,Barnet,374915
E09000003,2015,Barnet,379691
E09000003,2016,Barnet,386083
E09000003,2017,Barnet,387803
E09000004,2011,Bexley,232774
E09000004,2012,Bexley,234271
E09000004,2013,Bexley,236687
E09000004,2014,Bexley,239865
E09000004,2015,Bexley,242142
E09000004,2016,Bexley,244760
E09000004,2017,Bexley,246124
E09000005,2011,Brent,312245
E09000005,2012,Brent,314660
E09000005,2013,Brent,317264
E09000005,2014,Brent,320762
E09000005,2015,Brent,324012
E09000005,2016,Brent,328254
E09000005,2017,Brent,329102
E09000006,2011,Bromley,310554
E09000006,2012,Bromley,314036
E09000006,2013,Bromley,317899
E09000006,2014,Bromley,321278
E09000006,2015,Bromley,324857
E09000006,2016,Bromley,326889
E09000006,2017,Bromley,329391
E09000007,2011,Camden,220087
E09000007,2012,Camden,224962
E09000007,2013,Camden,229719
E09000007,2014,Camden,234846
E09000007,2015,Camden,241059
E09000007,2016,Camden,246181
E09000007,2017,Camden,253361
E09000001,2011,City of London,7412
E09000001,2012,City of London,7604
E09000001,2013,City of London,7648
E09000001,2014,City of London,8072
E09000001,2015,City of London,8760
E09000001,2016,City of London,9401
E09000001,2017,City of London,7654
E09000008,2011,Croydon,364815
E09000008,2012,Croydon,368886
E09000008,2013,Croydon,372752
E09000008,2014,Croydon,376040
E09000008,2015,Croydon,379031
E09000008,2016,Croydon,382304
E09000008,2017,Croydon,384837
E09000009,2011,Ealing,339314
E09000009,2012,Ealing,340671
E09000009,2013,Ealing,342494
E09000009,2014,Ealing,342118
E09000009,2015,Ealing,343059
E09000009,2016,Ealing,343196
E09000009,2017,Ealing,342736
E09000010,2011,Enfield,313935
E09000010,2012,Enfield,317287
E09000010,2013,Enfield,320524
E09000010,2014,Enfield,324574
E09000010,2015,Enfield,328433
E09000010,2016,Enfield,331395
E09000010,2017,Enfield,332705
E09000011,2011,Greenwich,255483
E09000011,2012,Greenwich,260068
E09000011,2013,Greenwich,264008
E09000011,2014,Greenwich,268678
